"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Will McClendon","UCLA","6-2",31,657.385,1,0,1,7.2,1.5,4.3,1.7,1,0.1,0.8,2.6,0.4,0.286,2.2,0.333,4.1,0.351,1.6,0.714,0.48,0.45
"Xavion Brown","App State","6-3",30,546.781,-0.8,1.8,1,5.9,1.9,3.9,4.3,1.2,0.9,2.9,2.4,5,0.487,0.5,0.286,0,0,2.2,0.382,0.459,0.47
"Josh Gray","South Carolina","7-0",31,315.102,-1,1.9,0.9,11.7,3.3,6.9,1.6,0.3,2.3,2.3,5.7,7.2,0.613,0.7,0,0,0,5.8,0.48,0.545,0.559
"Eli Rice","Nebraska","6-7",17,164.901,0.6,0.3,0.9,14.2,0.8,4.6,1.2,0.6,0.8,0.8,2.8,2.2,0.545,1.6,0.375,5.4,0.37,6.4,0.719,0.58,0.522
"Dailyn Swain","Xavier","6-7",29,532.386,-0.9,1.8,0.9,8.2,1.7,3.7,2.2,1.9,1.4,1.3,3.1,3.8,0.607,1.4,0.435,1.6,0.154,2,0.812,0.527,0.482
"Connor Turnbull","Butler","6-10",8,86.599,-1,1.9,0.9,11.8,0.4,4.7,0.8,2,5.1,1.2,3.9,3.1,0.75,0.4,0,5.1,0.385,1.2,1,0.64,0.614
"CJ Fredrick","Cincinnati","6-3",15,306.451,2.2,-1.3,0.9,10,0.4,1.2,2.4,0.3,0.1,0.6,2,0.4,0.5,1.4,0.385,5.8,0.434,1.2,0.727,0.605,0.593
"Fardaws Aimaq","California","6-11",32,1032.083,0.7,0.2,0.9,15.4,3.7,8,2.3,1,1.1,2.7,3.2,8.1,0.519,3,0.416,1.8,0.302,4.6,0.65,0.514,0.486
"Alexis Reyes","Quinnipiac","6-7",32,886.769,0.6,0.3,0.9,9.5,1.2,3.8,1.8,0.9,0.6,1.3,2.1,3.2,0.471,1.4,0.389,3.7,0.333,2,0.849,0.514,0.47
"Ben VanderWal","Furman","6-7",26,566.016,0.9,0,0.9,9.2,3.6,3.5,0.9,0.7,0.4,1,2.8,4.2,0.643,0.1,0,2.3,0.184,3.9,0.631,0.539,0.505
"Bryan Antoine","Radford","6-5",28,844.916,1.5,-0.6,0.9,13.9,0.3,3.6,2.1,1.8,0.8,1.4,2.3,2,0.478,3.9,0.352,5.2,0.418,3.1,0.889,0.554,0.504
"Cam Carter","Kansas St.","6-3",34,1198.283,-0.3,1.2,0.9,14.2,1.1,3.8,2.5,1.4,0.5,2.9,2.6,4.7,0.568,2.2,0.221,5.5,0.309,3.4,0.84,0.509,0.459
