"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Hamed Olayinka","Utah Tech","6-9",30,487.902,-3.5,0.8,-2.7,11,2.9,3.8,0.8,0.9,3.5,2.9,7.1,6.4,0.663,0.5,0,0.1,0,5.5,0.457,0.568,0.6
"Atiba Taylor","South Carolina St.","6-4",27,358.549,-1.1,-1.6,-2.7,14.1,0.9,2.3,2.4,1.1,0.2,2.5,3.9,3.4,0.472,4.2,0.244,4.2,0.356,4.7,0.9,0.497,0.413
"C.J. Walker","UCF","6-8",19,428.503,-3.3,0.6,-2.7,12,1.4,5.8,0.8,0.8,0.8,1.8,2.9,5.3,0.53,3,0.237,2.3,0.31,4.2,0.654,0.472,0.432
"Blaise Vespe","FGCU","6-7",19,197.352,-3.4,0.7,-2.7,5.6,1.1,3.9,0.6,1.3,0.4,1.5,4.9,2.4,0.615,0.9,0.2,1.7,0.111,2.6,0.643,0.446,0.389
"Dillon Bailey","Wofford","6-2",28,782.034,0.3,-3,-2.7,14.9,0.5,2.5,1.8,0.6,0,1.9,2.3,2.8,0.603,1.1,0.375,7,0.353,4.3,0.763,0.576,0.533
"Jaylen Searles","Utah Tech","6-8",29,821.084,-2.1,-0.6,-2.7,11.4,1.1,4.5,1.9,1.3,0.5,2.4,2.8,3,0.493,3.2,0.362,4.4,0.321,3.1,0.61,0.472,0.449
"Jay Heath","Georgetown","6-3",30,832.382,-0.2,-2.5,-2.7,10.4,0.3,3.3,2.4,0.8,0.1,1.6,2,2.1,0.44,2.4,0.263,5.5,0.366,1.7,0.7,0.479,0.458
"Cayden Vasko","Central Mich.","6-6",31,682.218,-4,1.3,-2.7,6.1,1.2,3.7,2,1.6,0.4,2.2,3.4,2.2,0.439,2,0.306,3.6,0.227,0.9,0.529,0.371,0.36
"Mwani Wilkinson","LSU","6-5",27,252.834,-2.6,-0.1,-2.7,7.9,1,2.7,1,1.9,0.8,1.2,4.2,0.8,0.5,0.3,0.5,6.5,0.333,0.7,0.4,0.497,0.5
"Jake Wahlin","Utah","6-10",20,131.834,-3.1,0.4,-2.7,3.4,2.6,4.3,1,0.2,0.7,1,5,1.4,0.5,0.7,0.667,2.6,0.091,1,0.25,0.32,0.325
"Lahat Thioune","South Dakota","6-10",28,774.399,0,-2.7,-2.7,18.1,4.4,7.8,1,0.6,0.6,3.5,3.2,10.8,0.593,2.7,0.492,0,0,3.8,0.714,0.594,0.573
"Quinlan Bennett","Western Ill.","6-4",25,767.084,-2,-0.7,-2.7,10.3,1.7,3.4,1.8,1,0.3,2,2.2,3.5,0.587,5.9,0.392,0.2,0,2.7,0.561,0.47,0.454
"Dylan Dawson","Texas St.","6-3",28,803.433,-2,-0.7,-2.7,9.7,0.3,2,1.7,1.1,0.1,2,2.1,1.8,0.268,1.9,0.349,5.7,0.326,2.4,0.75,0.46,0.419
"Marko Sarenac","Marshall","6-7",14,87.116,-3.6,0.9,-2.7,8.4,1.9,5,1.9,1.5,1.1,0.4,6.5,1.9,0.6,0.4,1,7.3,0.211,1.5,0.5,0.409,0.4
"Jack Francis","Texas Tech","6-3",5,5.7,-2.9,0.2,-2.7,13.3,13.3,20,6.7,0,0,0,0,0,0,6.7,0,0,0,13.3,1,0.513,0
"Jalen Terry","DePaul","6-0",23,639.516,-0.8,-1.9,-2.7,10.8,0.8,4.3,3.2,1.2,0.2,2.6,2.3,1.2,0.286,2.3,0.405,5.1,0.452,1.5,0.857,0.579,0.551
"Michael Eley","Siena","6-4",19,513.516,-1,-1.7,-2.7,17.2,0.7,6.4,2,0.9,0.5,2.4,2.6,3.1,0.652,8.7,0.359,5.8,0.267,2.9,0.744,0.451,0.425
"Ike Cornish","Ohio","6-6",31,321.666,-0.7,-2,-2.7,11.9,1.2,3.3,1.1,0.6,0.1,1.4,3.1,3,0.481,1,0.222,5.8,0.321,3.9,0.771,0.511,0.455
"Kobe Newton","Wyoming","6-2",18,365.583,-1.8,-0.9,-2.7,7.3,0.4,2.9,1,0.8,0,1.1,2.3,0.3,0.667,0.7,0.125,4.3,0.468,0.9,0.8,0.637,0.621
"Keishon Porter","N.C. Central","6-5",26,560.282,-0.1,-2.6,-2.7,14.7,2.7,2.7,0.5,1.2,0.6,1.6,4.2,5.6,0.701,1.5,0.25,2.4,0.378,5.4,0.643,0.612,0.595
"Jalyke Gaines-Wyatt","Alcorn","6-0",27,424.349,-0.3,-2.4,-2.7,11.3,0.6,3,3.1,0.7,0,2.2,2.4,4,0.52,2.9,0.472,1.1,0.143,5.6,0.686,0.525,0.46
"Kendall Hailey","Army West Point","6-3",17,163.301,-3.5,0.8,-2.7,3.4,0.7,4.3,3,1.1,0.7,2.3,1.4,1.8,0.375,1.1,0.4,1.8,0,1.4,0.833,0.314,0.238
"Jonathan Pierre","Memphis","6-7",18,111.766,-1.9,-0.8,-2.7,10.2,0.9,2.6,1.2,1.5,0.3,2.3,2.3,1.8,0.667,1.2,0,6.4,0.364,2,0.429,0.495,0.5
"Justin McBride","Oklahoma St.","6-8",24,149.266,-1.9,-0.8,-2.7,13.5,2.9,5.2,0.5,0.9,0.7,2.3,4.7,5.4,0.708,0.7,0.667,4.7,0.286,4.3,0.211,0.526,0.583
"Tray Jackson","Michigan","6-10",28,432.832,-2.1,-0.6,-2.7,11.2,1.2,4.2,0.9,0.4,1,2.3,3.9,4.2,0.615,1.9,0.167,3,0.243,4.6,0.719,0.5,0.438
"Leo Beath","Fla. Atlantic","6-8",5,9.483,-2.6,-0.1,-2.7,21.4,0,4.3,0,0,0,0,0,8.6,1,0,0,8.6,0,8.6,0.5,0.505,0.5
"Niko Abusara","Dartmouth","6-5",14,95.651,-2.9,0.2,-2.7,5.7,0.4,4,4.3,2.2,0.4,1.8,1.1,3.6,0.6,1.4,0,0.7,0,4.7,0.308,0.361,0.375
"Jack Pease","Colorado","5-11",1,1.683,-2.9,0.2,-2.7,0,0,40,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"Makai Grant","Dayton","6-1",5,7.533,-2.7,0,-2.7,0,0,8.6,4.3,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0
"Keyondre Young","DePaul","6-8",16,136.649,-2,-0.7,-2.7,11.5,0.7,5.5,0.7,0.5,0.2,1.7,2.4,2.6,0.455,2.4,0.3,7.2,0.233,3.4,0.786,0.416,0.363
"Matar Diop","Nebraska","6-9",19,67.149,-2.9,0.2,-2.7,7.6,1.9,6.1,2.4,1.4,1.4,2.8,5.2,4.3,0.444,0.5,1,0.9,0.5,4.3,0.333,0.492,0.542
"Will Richardson","Fordham","6-3",31,846.384,-1.2,-1.5,-2.7,12.3,1.1,2.3,2.5,1.6,0.4,1.5,2,3.5,0.448,1.6,0.293,7,0.289,3.2,0.662,0.45,0.419
"Matija Belic","UC Santa Barbara","6-7",27,388.851,-2.3,-0.4,-2.7,7.3,1.7,3.7,1.7,0.5,0.8,1.4,4.9,2.3,0.538,1.2,0.429,3.1,0.257,2,0.696,0.483,0.447
"RJ Johnson","Charleston So.","6-1",23,781.251,-0.7,-2,-2.7,14.9,0.2,1.9,3,0.8,0.1,2.4,2.4,3.1,0.464,5,0.339,3.5,0.325,6,0.873,0.516,0.417
"Louth Coulibaly","Holy Cross","6-9",27,333.566,-2,-0.7,-2.7,10,4.2,5.7,1.5,0.5,1,1.5,5,8.4,0.486,0.3,0,0,0,4.3,0.421,0.463,0.468
"Shy Odom","Howard","6-6",19,417.216,-1.1,-1.6,-2.7,12.8,1.3,3.9,3.5,0.7,0.9,3.7,2.8,7.3,0.495,1.7,0.318,1.3,0.294,4.7,0.683,0.505,0.458
"Trenton Johnson","Detroit Mercy","6-2",7,146.568,-1,-1.7,-2.7,6.6,1,1.5,2.2,0.2,0.2,1.5,2,0.7,1,2.7,0.636,2.5,0.2,0.2,1,0.552,0.542
"Jalen Harper","Auburn","6-1",13,16.099,-3.3,0.6,-2.7,7.5,0,0,1.9,0,0,0,3.8,7.5,0.25,5.6,0.333,5.6,0,0,0,0.2,0.2
"Will Maxwell","Dayton","6-4",3,5.183,-2.9,0.2,-2.7,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Riley","Fordham","6-5",22,196.402,-1.9,-0.8,-2.7,7.7,1.3,3,2,1.2,0.2,2.7,2.7,2.3,0.643,0.7,0.5,3.7,0.227,2,0.75,0.503,0.462
"Sam Mervis","Southern Ind.","5-11",27,376.218,-1.6,-1.1,-2.7,3,0.9,3,4.7,0.9,0.1,2.6,1.8,2.3,0.333,0.9,0.333,0.4,0,1.4,0.667,0.363,0.297
"Zimi Nwokeji","Dayton","6-7",14,83.935,-1.9,-0.8,-2.7,15.2,3.6,2.7,0.4,1.3,0,4.5,5.4,4,0.667,2.2,0.6,2.7,0.5,4.9,0.636,0.674,0.675
"Zach Loveday","Samford","7-0",21,115.017,-2.8,0.1,-2.7,11.5,2.3,6.4,1,0,3.1,2.6,6.9,5.9,0.826,1.3,0.2,1.3,0.2,1.3,0.4,0.636,0.652
"Shane Nowell","UNLV","6-6",16,136.716,-3,0.3,-2.7,5.5,1.1,6,1.4,1.1,0,1.1,7.1,1.6,0.333,0,0,3,0.182,3.3,0.833,0.441,0.294
"JJ Traynor","Louisville","6-8",8,204.118,-0.3,-2.5,-2.8,13.4,2,4.1,0.2,0.3,0.7,1.3,3,4.9,0.767,2.5,0.2,3.1,0.368,2.6,0.5,0.566,0.57
"Brennan Canada","Kentucky","6-6",5,2.467,-2.6,-0.2,-2.8,0,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Johnson","Middle Tenn.","6-5",31,893.499,-2.1,-0.7,-2.8,7,1.6,3.6,1.3,0.7,0.5,1.5,2.3,3.4,0.518,1.5,0.342,0.1,0.333,3.7,0.609,0.51,0.464
"Alex Kotov","Campbell","6-10",28,343.666,-3.2,0.4,-2.8,10.6,2.5,6,3.5,0.9,2,4.4,3.5,6.2,0.586,1.8,0.176,1,0.111,5.3,0.44,0.459,0.458
"Latrell Davis","San Jose St.","6-2",29,357.901,0.1,-2.9,-2.8,14.4,1.3,4.3,1.5,0.5,0.1,1.7,3.4,6.5,0.585,0.9,0.667,3.3,0.303,4.4,0.591,0.563,0.551
"AJ Rohosy","Washington St.","6-9",10,9.516,-3.3,0.5,-2.8,12,0,12,9,0,0,0,3,9,0.667,0,0,0,0,0,0,0.667,0.667
"Andrew Alia","Drake","6-2",15,27.234,-2.4,-0.4,-2.8,16.8,1.2,4.8,0,1.2,0,1.2,2.4,4.8,1,1.2,1,2.4,0,8.4,0.571,0.678,0.714
"Kyson Rose","Idaho","6-9",29,574.016,-1,-1.8,-2.8,11.4,1.2,3.5,2.9,0.6,0.6,2.4,4.7,4.1,0.561,0.8,0.462,4.2,0.353,1.9,0.839,0.569,0.537
"Japhet Medor","Fordham","5-11",30,709.769,-0.1,-2.7,-2.8,14.2,1.1,1.5,3.3,1.2,0.3,2.4,3.3,4.4,0.352,2.3,0.286,5.9,0.333,5.3,0.736,0.469,0.409
"Davion Cunningham","UNC Asheville","6-3",16,143.367,-1.1,-1.7,-2.8,10.5,2.8,3.7,2.1,0.2,0,1.6,3.7,3.7,0.562,1.9,0.625,2.1,0.222,3.5,0.733,0.561,0.515
"Daniel Egbuniwe","Tennessee Tech","6-7",28,742.051,-2.4,-0.4,-2.8,9.8,0.9,6.6,2.1,1,1.1,2.5,2.5,4,0.549,1,0.4,3.5,0.352,1.9,0.525,0.526,0.523
"Isaiah Gaines","Fla. Atlantic","6-8",11,20.7,-2.6,-0.2,-2.8,11.2,0,9.4,3.8,1.9,1.9,1.9,11.2,3.8,1,1.9,1,0,0,1.9,0,0.863,1
"Dra Gibbs-Lawhorn","Illinois","6-1",26,174.482,-2,-0.8,-2.8,10.5,1.2,2.9,1.9,0.4,0.4,1.7,4.4,3.8,0.55,2.5,0.308,6.3,0.212,1.3,0.571,0.397,0.386
"Alonso Faure","Loyola Maryland","6-10",30,594.685,-2,-0.8,-2.8,14.3,2.9,7.4,1.9,0.8,0.8,3.4,3.8,8.8,0.565,0.8,0.077,1.7,0.286,4.3,0.639,0.536,0.511
"Austin Parks","Ohio St.","6-10",9,17.435,-3.2,0.4,-2.8,5.5,0,9.1,1.8,1.8,0,1.8,5.5,1.8,1,0,0,0,0,3.6,0.5,0.769,1
"Dylan Hayman","UIW","6-5",28,780.634,-1.1,-1.7,-2.8,9.5,2.3,3.3,1.4,0.8,0.7,1.3,3,2.5,0.638,2.7,0.46,2.8,0.303,1.8,0.762,0.541,0.513
"Aaron Clark","Wake Forest","6-6",7,29.734,-3.7,0.9,-2.8,0,0,1.2,1.2,4.7,2.4,1.2,7.1,2.4,0,0,0,7.1,0,0,0,0,0
"Franco Miller Jr.","FGCU","6-3",28,645.652,-2,-0.8,-2.8,9.6,0.6,4.7,2.7,1.2,0.2,1.9,1.9,5,0.443,1.6,0.214,3.7,0.242,2.7,0.667,0.415,0.379
"Ant Abraham","Tex. A&M-Commerce","6-1",16,161.951,-2.5,-0.3,-2.8,8.1,0.9,3.7,3.5,0.9,0.2,2,4,3.1,0.286,1.5,0.143,3.7,0.412,2,0.667,0.438,0.408
"Baye Ndongo","Georgia Tech","6-9",28,770.898,-1.6,-1.2,-2.8,15.5,3.3,7.3,1.2,1,1.4,3.4,3.6,6.9,0.653,4.1,0.432,0.5,0.364,3.7,0.662,0.587,0.57
"Juhlawnei Stone","SFA","6-7",31,378.349,-2.3,-0.5,-2.8,10,2.8,3.5,0.9,1,0.8,2.4,4.6,6.5,0.583,0.5,0.4,0,0,3.2,0.629,0.587,0.571
"Davis Smith","Michigan St.","6-0",12,25.833,-3.3,0.5,-2.8,16.2,1.2,1.2,2.5,0,1.2,1.2,5,0,0,6.2,0.2,6.2,0.4,8.8,0.714,0.488,0.4
"Diante Wood","Tennessee Tech","6-4",23,634.417,-1.5,-1.3,-2.8,11.4,1.3,4.1,3.3,0.8,0.3,2.4,2.5,4.5,0.538,4.1,0.386,0.9,0.133,3.8,0.8,0.505,0.442
"Elijah Gertrude","Virginia","6-4",16,148.084,-4.1,1.3,-2.8,13.4,0.5,4.2,1.5,2.7,1.7,2.5,4.2,5.2,0.571,5.5,0.364,3.7,0.067,4.5,0.611,0.406,0.371
"Nick Honor","Missouri","5-10",32,1002.732,0.5,-3.3,-2.8,12.3,0.5,0.9,1.9,1,0.1,1.5,2.2,1.8,0.327,2,0.339,6.9,0.365,2.5,0.861,0.514,0.471
"Derek Sangster","Princeton","6-8",11,12.749,-2.4,-0.4,-2.8,12.5,2.5,2.5,2.5,0,0,2.5,2.5,0,0,0,0,2.5,1,5,1,1.282,1.5
"Lloyd McVeigh","Buffalo","6-6",29,368.518,-2.4,-0.4,-2.8,5.2,1.8,4.6,1.8,1,0.3,1.8,3.3,1.6,0.5,0.1,0,3.8,0.286,0.4,0.75,0.453,0.443
"Mikkel Tyne","Richmond","5-10",33,554.967,-2.4,-0.4,-2.8,8.4,0.4,4,1.8,1.1,0,1.1,2.6,2.9,0.478,1.7,0.192,5,0.269,1.1,0.833,0.416,0.39
"Jaelyn Lee","Texas A&M","6-6",9,12.266,-3.1,0.3,-2.8,18,3,9,0,3,3,0,6,6,0,6,0.5,6,0,15,0.8,0.358,0.167
"Joseph Pinion","Arkansas","6-5",19,101.117,-2.7,-0.1,-2.8,14.1,0.3,3.1,0.9,1.2,1.9,1.9,3.8,2.2,0.571,1.6,0.6,5.6,0.278,5.6,0.889,0.584,0.483
"Gavin Walsh","Binghamton","6-7",24,397.782,-3.8,1,-2.8,9.2,1.7,6.2,1.1,1.3,0.4,1.2,4.3,4.8,0.414,0.5,0.167,4.3,0.231,4,0.5,0.396,0.371
"Matthew Levis","Seattle U","6-1",17,135.416,-2.9,0.1,-2.8,3.7,0.3,2.9,2.1,1,0,1.8,2.9,0.5,1,0,0,1.8,0.143,2.3,0.778,0.527,0.389
"Justice Williams","Robert Morris","6-4",28,851.951,-0.1,-2.7,-2.8,14.2,0.8,2.5,2.9,1,0.4,2.8,1.8,3.4,0.434,4.7,0.395,5.7,0.317,2.6,0.825,0.473,0.438
"Ryan Sabol","Buffalo","6-2",29,862.033,-0.4,-2.4,-2.8,9.5,0.5,1.3,2.3,0.7,0.1,1.4,1.5,0.7,0.368,1.4,0.324,6.3,0.37,1.3,0.818,0.524,0.5
"Kyle Duke","N.C. A&T","6-4",30,595.099,-1.3,-1.5,-2.8,10.4,0.9,3.1,2.5,1.2,0.2,1.5,2.3,3.1,0.472,3.7,0.403,2.9,0.245,2.7,0.87,0.474,0.415
"KJ Marshall","Pittsburgh","5-10",8,13.032,-3,0.2,-2.8,13.8,0,0,6.9,0,0,2.3,0,0,0,2.3,1,16.2,0.143,4.6,0.5,0.335,0.312
"Jedy Cordilia","Mount St. Mary's","6-9",28,563.019,-2.3,-0.5,-2.8,11.4,2.2,5.5,1,0.7,0.9,2.4,4.1,5.2,0.671,3,0.438,0.3,0,2.5,0.725,0.589,0.565
"Michael Ojo","Siena","6-7",25,411.882,-3.5,0.7,-2.8,8.4,2.4,3.6,1.1,2,2.2,2.1,4.3,2.1,0.375,1,0.083,4.6,0.377,2.4,0.593,0.471,0.449
"Grant Hurst","Tennessee","6-2",4,4.149,-3.7,0.9,-2.8,0,0,6.7,0,0,0,13.3,6.7,0,0,0,0,0,0,0,0,0,0
"Rodney Brown Jr.","California","6-6",32,443.169,-1.1,-1.7,-2.8,8.6,0.6,2.1,2.1,0.5,0.2,1.5,3.7,1,0.462,1.9,0.4,4.4,0.397,1.1,0.857,0.55,0.526
"Jalen Ware","Austin Peay","6-8",6,58.067,-2.3,-0.5,-2.8,9.1,5.5,3,1.2,0.6,0.6,1.2,5.5,3.6,0.667,2.4,0.25,0.6,0,4.2,0.714,0.524,0.455
"Nico Nobili","Boston U.","6-10",30,709.6,-2.6,-0.2,-2.8,11.7,2.3,4.6,1.7,0.7,0.8,2.7,4.2,5,0.594,1.2,0.217,3.3,0.349,3,0.61,0.538,0.522
"Tai Strickland","LIU","6-2",22,692.251,-1,-1.8,-2.8,15.2,0.7,3.6,2.9,2,0.4,3.3,3.4,4.5,0.591,4.4,0.418,3.2,0.262,4.9,0.77,0.53,0.476
"Tedrick Wilcox Jr.","Hampton","6-6",28,875.998,-0.8,-2,-2.8,12.1,0.4,3.5,1.8,1.4,0.1,2.3,2.2,2.7,0.6,2.1,0.407,5.6,0.319,2.1,0.855,0.532,0.496
"Jaylen Bates","Youngstown St.","6-7",12,116.215,-2.3,-0.5,-2.8,11,3.3,5.3,0.6,0.9,1.2,3,3.6,2.4,0.25,0.6,0,4.5,0.533,3.6,0.75,0.603,0.56
"Jaden Schertz","Indiana St.","5-11",5,10.083,-3.1,0.3,-2.8,0,0,0,0,4.8,0,2.4,2.4,2.4,0,2.4,0,0,0,0,0,0,0
"Snookey Wigington","Nevada","5-8",1,3.533,-3.3,0.5,-2.8,0,0,0,10,0,0,0,10,0,0,10,0,10,0,0,0,0,0
"Tyje Kelton","Wagner","6-7",27,581.001,-2.2,-0.6,-2.8,10.2,2.3,4.7,0.9,1,0.8,0.9,3.1,2.4,0.432,1,0.133,7,0.346,1,0.625,0.471,0.462
"Rashaan Mbemba","Colorado St.","6-7",32,344.402,-1.7,-1.1,-2.8,12.7,2.2,4.9,1.4,0.8,0.9,3.6,7.6,5.1,0.714,0.4,0,1.1,0.364,5.8,0.714,0.673,0.641
"Tavari Johnson","Akron","5-11",30,350.552,-1.6,-1.2,-2.8,11.3,0.7,2.5,3.3,1,0,2.7,2.6,3.2,0.636,3.3,0.294,4.1,0.381,1.1,0.636,0.512,0.505
"Eli Sparkman","South Carolina","6-0",4,20.017,-3.1,0.2,-2.9,6.7,1.7,5,0,0,0,1.7,1.7,1.7,1,0,0,6.7,0,3.3,1,0.336,0.2
"Cale Jacobsen","Nebraska","6-4",20,50.683,-2.6,-0.3,-2.9,8.6,0,1.8,3.1,0.6,0,1.2,3.1,2.4,0.75,1.8,0.333,1.8,0.333,3.7,0.5,0.545,0.55
"Alimamy Koroma","Portland","6-8",10,188.234,-1.6,-1.3,-2.9,16.4,2.2,6.1,1.1,0.6,1.1,2.8,4.8,7.9,0.535,2.2,0.75,1.8,0.2,4.6,0.76,0.579,0.538
"Bube Momah","Lehigh","6-8",29,585.581,-2.7,-0.2,-2.9,11.2,1.5,4.7,1.2,1.1,0.8,2.2,3.7,4.9,0.558,3.3,0.281,0.7,0.417,4.2,0.703,0.513,0.461
"Chuck Bailey III","Evansville","6-5",31,574.365,-0.9,-2,-2.9,15.6,0.8,4,1.4,0.6,0.1,2.5,3,4.3,0.575,5.8,0.316,3.1,0.346,4.5,0.829,0.508,0.448
"Carter Kingsbury","Iowa","6-4",5,15.033,-2.7,-0.2,-2.9,10.7,2.1,12.9,2.1,0,0,2.1,0,4.3,0.5,2.1,0,4.3,0.5,0,0,0.5,0.5
"Carter Murphy","Georgia Tech","6-4",14,105.484,-2.2,-0.7,-2.9,8.4,0,3.4,1,1,0.7,0.3,3.7,1,0.667,0.7,0,6.4,0.368,0,0,0.521,0.521
"Bradley Colbert","Xavier","6-2",9,25.916,-2.5,-0.4,-2.9,14.4,0,0,2.4,1.2,0,0,7.2,1.2,1,1.2,1,3.6,0.667,2.4,1,1.008,1
"Creighton Lebo","North Carolina","6-1",9,19.3,-3.6,0.7,-2.9,0,0,5.3,0,3.5,0,0,3.5,3.5,0,5.3,0,7.1,0,0,0,0,0
"A.J. Lopez","Maine","6-5",24,499.797,-0.3,-2.6,-2.9,14.2,0.3,1.7,1,1.2,0.5,1.8,2.2,3.5,0.5,3.3,0.375,5.3,0.355,3.2,0.804,0.521,0.48
"Kajus Kublickas","Florida","6-2",9,33.067,-2.4,-0.5,-2.9,6.3,0.9,1.8,3.6,0.9,0,3.6,1.8,0.9,1,0.9,0,0,0,5.4,0.833,0.722,0.5
"Cade Hardtke","Bradley","6-2",18,71.484,-3.1,0.2,-2.9,6,0,5,0.5,1,0.5,1,3,2,0.75,1,0,2,0.5,0,0,0.6,0.6
"Cody Pennebaker","Lamar University","6-5",30,788.85,-1,-1.9,-2.9,10.1,1.2,3.4,1.5,0.9,0.7,1.1,1.4,2.6,0.516,3.3,0.364,4.4,0.308,1.5,0.629,0.458,0.444
"Avery Felts","Arkansas St.","6-2",36,745.166,-0.6,-2.3,-2.9,9.7,1.1,2.2,1.3,1,0.2,0.4,2.2,0.8,0.529,0.2,0.2,7.3,0.377,0.7,0.688,0.558,0.552
"Jalen White","Nicholls","6-4",29,682.684,-0.4,-2.5,-2.9,9.6,0.3,1.5,1,1,0.2,0.6,1.9,0.4,0.5,0.7,0.643,6.3,0.395,0.9,1,0.617,0.592
"Javont̩ Johnson","Colorado St.","6-6",17,86.433,-1.7,-1.2,-2.9,10.9,2.6,2.2,1.7,0.4,0,3,3,1.3,1,2.2,0.2,4.8,0.455,0.9,1,0.627,0.605
"David Jones","Ga. Southern","6-8",20,161.584,-2.8,-0.1,-2.9,4.9,1.8,4.1,1.2,0.8,1.8,1.4,2.9,2.9,0.571,0.6,0.333,0,0,3.3,0.375,0.488,0.529
"Chase Barrs","Florida A&M","6-8",19,193.25,-3.8,0.9,-2.9,5.3,1.8,7.3,1.1,0.2,1.9,1.4,3.2,2.5,0.571,1.9,0.182,0,0,2.8,0.625,0.46,0.4
"Damari Wheeler-Thomas","North Dakota St.","6-0",29,1015.881,-0.7,-2.2,-2.9,10.8,0.2,2.2,2.6,0.5,0,1.7,2.8,2.7,0.513,4.3,0.425,2,0.351,2.7,0.842,0.526,0.474
"Fred Payne","Boston College","6-1",5,24.567,-2.7,-0.2,-2.9,10.4,1.3,3.9,3.9,1.3,0,1.3,2.6,2.6,0.5,7.8,0.333,3.9,0,2.6,1,0.335,0.273
"Daemar Kelly","Quinnipiac","6-5",24,187.084,-3,0.1,-2.9,4.9,1.2,3,0.7,1.2,0.7,0.5,3.1,1.2,0.571,1,0.333,2.4,0.357,0.2,1,0.51,0.5
"Jermaine Hamlin","Eastern Ill.","6-10",18,279.498,-2.6,-0.3,-2.9,9.3,4.6,3.9,1.2,0.5,1.5,2.4,5,5.6,0.622,1.9,0.2,0,0,3.1,0.52,0.522,0.517
"Keyon Menifield","Arkansas","6-1",14,282.617,-0.3,-2.6,-2.9,12.9,0.5,2.9,2.6,0.6,0.5,2.4,2,3.3,0.536,3.1,0.296,4.8,0.317,4.1,0.743,0.493,0.443
"Gabe Wiznitzer","Ohio","6-11",32,422.718,-2,-0.9,-2.9,10,2.4,5.8,1.6,0.2,1.9,2.1,5.8,6.9,0.537,0.6,0.143,0.3,0.333,3.5,0.61,0.53,0.506
"Even Brauns","Iowa","6-9",18,63.2,-3.4,0.5,-2.9,5.3,2.1,6.8,1.1,1.1,2.1,2.6,10.5,2.6,1,0,0,0,0,0,0,1,1
"Gerald Jones II","South Fla.","6-10",8,42.817,-3.1,0.2,-2.9,6.7,0.8,5.8,0,0,1.7,0.8,3.3,3.3,1,0,0,0.8,0,2.5,0,0.623,0.8
"Adrian Samuels","American","6-5",10,94.417,-3.1,0.2,-2.9,5.4,0.9,4,1.3,0.4,0.4,1.3,3.6,2.2,0.2,0.9,0,3.1,0.429,0.9,0.5,0.401,0.393
"Ja'Shonte Wright-Mcleish","Maine","6-4",30,864.7,-3.1,0.2,-2.9,7.8,0.6,1.5,1.1,1.5,0.3,1.2,3.1,1.1,0.444,1.7,0.372,4.7,0.348,1.1,0.654,0.489,0.476
"Gavin Griffiths","Rutgers","6-8",31,563.534,-2.7,-0.2,-2.9,11.2,1.3,3,1.2,0.6,0.8,1.8,2.3,3,0.531,3,0.22,6.5,0.287,1.8,0.6,0.418,0.403
"Keith Lamar","Florida A&M","6-6",25,698.831,-0.7,-2.2,-2.9,16,1.3,4.9,1.7,1.4,0.5,2.2,3,3.4,0.606,4.3,0.348,4.6,0.421,4.1,0.738,0.56,0.525
"Joey Hart","Kentucky","6-5",7,8.434,-2.4,-0.5,-2.9,10.6,0,0,0,0,0,3.5,0,0,0,3.5,0,3.5,1,0,0,0.75,0.75
"Rob Higgins","Elon","6-1",21,602.886,0.4,-3.3,-2.9,13.7,0.5,2.2,3.6,1.1,0,2.3,1.3,5.4,0.505,1.8,0.516,3.4,0.356,3.1,0.868,0.564,0.516
"Malik Battle","Coppin St.","6-3",20,393.966,-1.2,-1.7,-2.9,12.8,0.8,1.8,1.3,0.7,0.1,1.5,2.8,1.6,0.333,1.9,0.136,5.2,0.458,4.9,0.839,0.581,0.5
"Jason Steele","LIU","6-6",19,327.349,-3.2,0.3,-2.9,8,0.9,4.6,2,1.4,0.5,1.9,5.1,3,0.5,2.5,0.36,1.1,0.364,3.5,0.543,0.478,0.455
"RJ Greene","LIU","6-6",22,680.819,-2.1,-0.8,-2.9,9,2.2,6.3,1.1,0.7,0.8,1.7,2.7,5.2,0.481,1.4,0.296,0.3,0.2,5.4,0.561,0.479,0.438
"Ose Okojie","Howard","6-5",18,337.333,-2.4,-0.5,-2.9,7,2.3,3.4,1.4,1.5,0.5,1.5,4.9,4,0.5,0.5,0.4,0.8,0.125,4.5,0.512,0.469,0.441
"Jayland Randall","Alabama A&M","6-5",33,564.4,-1.3,-1.6,-2.9,13.3,1.1,3.9,1.5,1.4,0.7,2.6,4.5,5,0.529,3.8,0.418,1.8,0.188,4.7,0.795,0.515,0.446
"Max Burton","Western Mich.","6-9",30,253.066,-1.2,-1.7,-2.9,12.7,2.1,3.1,1.4,1.4,1,2.5,4.2,7.4,0.558,1,0.429,1.1,0.375,3.4,0.708,0.574,0.545
