"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Grant Randall","Fr.","Quinnipiac","MAAC","6-9","F",30,290,-4.6,-1.6,-6.2,-0.1,0.1,6.5,2,4.6,0.7,0.8,0.3,1.8,3.2,2.8,53.6,1.1,37.7,3.8,12.9,1.6,76.9,39
"Declan Cutler","Fr.","Weber St.","Big Sky","6-9","F",27,242,-4.6,-1.6,-6.2,-0.1,0.1,5,2.5,3.4,0.9,0.7,0.7,2,3.7,3.6,54.4,0.6,50.2,0,0,1.5,30,51.2
"Chiang Ring","Fr.","Murray St.","MVC","6-8","F",5,5,-5.7,-0.5,-6.2,0,0,-0.9,7.5,0,0,0,7.3,0,6.7,6.7,0,0,0,0,0,0,0,0
"Javarzia Belton","Jr.","Delaware St.","MEAC","6-1","F",10,82,-4.3,-1.9,-6.2,0,0,12,3.3,3,0.7,0,0.6,3,5.2,9,58.4,0,0,0,0,3.4,44.4,57.2
"DaeVeon Scott","So.","SFA","Southland","6-3","G",13,58,-5.4,-0.8,-6.2,0,0,8.9,1.8,1.8,2.4,1.3,0,5.4,1.9,0.6,3.2,0.7,0,3.8,67.2,1.8,66.7,76.2
"Delyle Williams","So.","Jackson St.","SWAC","6-2","G",23,212,-5.9,-0.3,-6.2,-0.1,0.2,4.3,1.5,3.8,0.7,1.1,0.5,1,3.3,1.4,52.1,1.9,16.2,2.8,21,0.7,80,34.2
"Christian Moore","Jr.","Ark.-Pine Bluff","SWAC","5-11","G",27,779,-3.7,-2.5,-6.2,-0.3,-0.2,9.2,0.9,2.8,3.9,1.4,0,2.7,2.4,4.7,42.8,1.7,42,4,23.1,1.6,61.9,41.5
"Azavier Johnson","Fr.","New Mexico St.","C-USA","6-5","G",6,13,-5.6,-0.6,-6.2,0,0,0.2,3,2.7,0,2.2,0,0,2.7,0,0,0,0,7.2,1.2,0,0,1.7
"Avishai Lowery","Jr.","Jacksonville St.","C-USA","6-0","G",2,0,-5.3,-0.9,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ebo Wilson","Fr.","Jackson St.","SWAC","6-10","C",11,103,-5.9,-0.3,-6.2,0,0.1,2.3,3.4,6.8,1.1,1.9,0,3.1,7.7,0.7,0,0.9,98.9,0,0,2.1,28.6,46.3
"Isaiah Miranda","So.","Green Bay","Horizon","7-1","F",6,47,-4.5,-1.7,-6.2,0,0,17.7,0,5.9,0,0,2.1,2.1,4.4,4.2,99.2,2.5,49.6,7.5,20.2,2.9,75,56.8
"Jaylon McDaniel","Sr.","Lindenwood","OVC","6-7","F",15,193,-4,-2.2,-6.2,-0.1,0,11.2,3.2,2.1,0.6,0.5,1.1,3,4.1,7.5,60.9,1,0,0,0,3.7,57.1,55.7
"Elia Bongiorno","So.","UC Santa Barbara","Big West","6-2","G",3,3,-5.3,-0.9,-6.2,0,0,-0.4,20.6,0,0,0,0,0,0,0,0,11.9,0,8.6,0,0,0,0
"Dante DePante","Fr.","Youngstown St.","Horizon","6-4","G",7,13,-5.9,-0.3,-6.2,0,0,4.8,5,4.5,2.3,2.4,0,2.2,4.9,4.8,50,0,0,0,0,4.2,0,36
"Chris Gatty","So.","Syracuse","ACC","6-2","G",2,1,-5.3,-0.9,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Saunders Jr.","Sr.","Pepperdine","WCC","6-0","G",17,123,-4.2,-2,-6.2,0,0,5.7,0.3,2.4,2.1,0.3,0,1.5,1.9,0.8,1,1.8,43.3,2.4,25.7,2.5,88.9,46.3
"Marcel Bryant","So.","Prairie View","SWAC","6-7","F",30,797,-3.7,-2.5,-6.2,-0.3,-0.2,12.3,2.1,3.9,1.6,1.4,1.4,2.8,4.3,4.4,52.6,4.6,35.4,2.4,27.5,3.9,61.1,46.7
"Jaymien Aponte","Fr.","Rhode Island","Atlantic 10","6-3","G",3,1,-5.6,-0.6,-6.2,0,0,0,0,15,0,0,14.8,17.5,17.1,0,0,0,0,0,0,0,0,0
"Laziz Talipov","Sr.","George Washington","Atlantic 10","6-1","G",1,1,-5.6,-0.6,-6.2,0,0,0,0,0,0,0,0,29.7,0,0,0,0,0,0,0,0,0,0
"Nate Fleisher","Sr.","Syracuse","ACC","6-1","G",2,1,-5.3,-0.9,-6.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,18.7,0.4,0,0,0.6
"Jackson Mayo","Jr.","Army West Point","Patriot","6-0","G",8,16,-5.2,-1,-6.2,0,0,17.8,4.2,6,2.4,3.8,2,0,0,0,0,0,0,15.9,37.2,0,0,55.8
"Matt Hain","So.","James Madison","Sun Belt","6-7","F",3,2,-4.9,-1.3,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miles Rose","So.","St. Bonaventure","Atlantic 10","6-4","G",13,36,-5.5,-0.7,-6.2,0,0,3.8,0,2,1,0,0,1.7,3.7,2,51.9,2.5,35.1,0,0,0,0,42.5
"Mohamed Binzagr","Jr.","George Washington","Atlantic 10","6-2","G",4,3,-5.6,-0.6,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0
