"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Jamal Sumlin","So.","Kent St.","MAC","6-3","G",29,558,0.6,0.5,1.1,2,0.7,10.1,2,3.7,3.1,1.4,0.2,2,3.1,3.5,54.4,3.1,41.3,1.6,42,2.1,81.8,55.3
"Ndewedo Newbury","Sr.","San Francisco","WCC","6-7","F",10,241,0.4,0.7,1.1,0.9,0.4,10.8,2.2,4.2,3.9,0.9,1.4,2.6,2.6,4.5,46.6,1.7,41.5,3.1,37.9,2.2,73.3,52.3
"Jonah Pierce","Sr.","Presbyterian","Big South","6-10","F",7,175,0.6,0.5,1.1,0.6,0.2,16.8,4.6,6.1,2.5,1,1.4,4,4.1,10.6,65.4,0,0,0,0,5,57.1,65.3
"Elijah Elliott","Sr.","Southern Ill.","MVC","6-1","G",4,118,0.9,0.2,1.1,0.4,0.1,16,0,4.7,1.8,1.2,0.3,1.9,1.4,4.4,65.5,2,57.3,5.8,38.5,1.3,100,62.8
"Jimmie Williams","So.","South Fla.","AAC","6-5","G",28,507,1,0.1,1.1,1.9,0.6,14,1.2,3.4,1.9,2.1,0.1,1.3,2.1,4.5,62.5,2.4,30.8,4.3,39.3,2.5,75,57.1
"Latrell Jossell","Sr.","North Texas","AAC","5-11","G",29,640,1.3,-0.2,1.1,2,0.6,12.6,0.5,1.7,2.7,2,0.1,1.5,3.7,0.9,47.7,2.9,43.5,7.7,31.5,2.4,78.9,49.9
"Myles Rice","So.","Indiana","Big Ten","6-3","G",32,878,0.3,0.8,1.1,3.2,1.3,13.1,0.6,3.1,3.7,1.4,0.1,2.6,3.1,4.6,54.6,2.7,33.4,3.2,32.9,3.8,81.8,53.6
"Owen Koonce","Sr.","Cal Poly","Big West","6-5","G",34,1039,2.3,-1.2,1.1,4,0.5,18.1,1.4,3.8,2,1.2,0.6,2.6,2.9,4.7,67.7,2.7,47.3,5.2,41.1,3.2,88.8,64.8
"Kamari Lands","Jr.","Middle Tenn.","C-USA","6-8","F",19,368,0.7,0.4,1.1,1.4,0.5,14.1,0.8,3.4,2.3,1.1,0.4,1.6,2.7,3.1,59.2,2.8,29.8,7.7,32.7,1.9,66.7,49
"Woody Newton","Sr.","George Mason","Atlantic 10","6-9","G",31,711,-0.9,2,1.1,2.4,1.4,11.1,0.8,5.5,1.3,1.1,1.5,1.6,3,3.2,48.1,1.5,36,5.2,32.6,2.6,72.9,50.5
"Money Williams","So.","Montana","Big Sky","6-4","G",31,840,1,0.1,1.1,2.9,0.9,17.4,0.5,4.4,3.9,1.5,0.3,3.4,3.1,4.8,50.9,2.9,32.3,6.3,34.1,5.3,79.4,53.3
"Ryan Agarwal","So.","Stanford","ACC","6-6","G",32,858,0.9,0.2,1.1,3,1,10.2,1.7,5,3,1,0.3,1.1,2.9,3.1,58.9,0.9,17.5,5.6,30.1,1.4,81.8,49.7
"Kam Woods","Sr.","Robert Morris","NEC","6-1","G",28,1033,1.5,-0.4,1.1,3.7,0.9,14.5,1.2,3.1,4.7,1.7,0.1,2.9,2.1,5.1,48.3,3.7,34.2,4.9,28.3,4.7,60.6,45.8
"Tajavis Miller","Jr.","North Dakota St.","Summit League","6-4","G",27,574,2.4,-1.3,1.1,2,0.2,17.4,2,5.6,1.9,0.5,0.4,2,2.8,4.4,65,2.6,44.4,4.9,38.9,5.1,72.1,61.6
"Shawn Jones Jr.","Jr.","Mississippi St.","SEC","6-5","G",33,641,0.5,0.6,1.1,2.3,0.9,8.9,2,2.8,1.8,1.7,1.2,0.5,2.9,3.3,64,0.5,22.1,3.2,30.7,2,75.7,56.6
"Rashaan Mbemba","So.","Colorado St.","MWC","6-7","G",29,560,0.4,0.7,1.1,1.9,0.8,14.2,2.8,4.2,1.8,0.9,0.8,2.5,4.6,7.5,63.7,0.4,67.3,0.5,12.8,5.5,71.1,65.6
"Will McClendon","Jr.","San Jose St.","MWC","6-2","G",23,749,2,-0.9,1.1,2.6,0.4,13.4,0.5,2.9,3.3,0.8,0,1,2,2.9,36.3,2.6,35.8,6.1,35.1,3.6,82.7,50.7
"Cooper Noard","Jr.","Cornell","Ivy League","6-2","G",25,704,2,-1,1,2.6,0.4,15.9,0.3,3.4,0.9,0.7,0,1.3,1.6,2.3,73.1,0.2,49.3,7.9,41.1,3.1,82.5,67.4
"Derrion Reid","Fr.","Alabama","SEC","6-8","F",20,299,0.5,0.5,1,1.1,0.4,14.2,2.2,4.6,1.8,0.5,0.6,1.7,2.8,6.3,59.2,1.1,27.7,3.7,26.2,5.8,56.6,52.3
"Andrew Morgan","Sr.","Nebraska","Big Ten","6-10","F",31,588,0.4,0.6,1,2,0.8,15.9,2.7,5.5,2,0.9,0.7,2.6,3.4,6.6,74.9,2.3,33,0.9,29.1,6.6,56.9,62.8
"Des Watson","Sr.","Loyola Chicago","Atlantic 10","6-5","G",31,1066,0.3,0.7,1,3.7,1.5,13.5,0.8,2.8,2.7,1.6,0.1,1.8,1.9,3.3,45.2,3,36.6,5.6,34.9,3.4,71,50.2
"Christian Davis","Sr.","Bradley","MVC","6-7","G",32,990,0.6,0.4,1,3.3,1.2,11.5,2,4.3,2.2,1,1,1.4,2.5,2.8,61.7,1.2,54.2,3.4,44.4,2.7,84,67.2
"Collin Moore","Sr.","Grand Canyon","WAC","6-4","G",32,824,-0.6,1.6,1,3.1,1.7,9.9,0.9,3.4,2.6,2.2,1.1,1.8,3,3.2,55,0.2,28.2,3.7,36.1,3.1,71.2,58
"Fredrick King","Jr.","Creighton","Big East","6-9","C",33,206,0.8,0.2,1,0.7,0.2,17.1,3.3,4.5,0.6,0.6,2.6,1.9,3.8,10.5,69,0.1,99.5,0,0,4.2,58.3,68.9
"Brandon Noel","Jr.","Wright St.","Horizon","6-8","F",30,1025,2.4,-1.4,1,3.6,0.3,19.2,1.9,5.8,1.7,1.1,0.8,2.2,1.9,8.4,66.1,1.6,32.9,3.4,35.9,4.5,74.1,62.3
"Brant Byers","Fr.","Miami (OH)","MAC","6-8","F",31,536,1.1,-0.1,1,2,0.6,15,0.7,4.3,1,1.1,0.7,0.9,3,3,67.5,0.8,40.6,7.1,37.6,3,73.1,61.1
"Donald Hand Jr.","So.","Boston College","ACC","6-5","G",31,1022,1.7,-0.7,1,3.5,0.7,17.2,1.1,5.7,1.4,0.7,0.2,1.5,1.8,3.1,48.8,3.1,30.5,6.7,37.1,5.7,85.5,56
"DeJour Reaves","Sr.","Iona","MAAC","6-0","G",34,1163,1.4,-0.4,1,4.1,1,17.3,1.6,3.8,1.8,2.1,0.3,1.7,1.8,5.1,58.7,4.7,40.3,5.1,33.9,2.8,81.9,53.5
"Darren Harris","Fr.","Duke","ACC","6-6","G",19,109,0.4,0.6,1,0.4,0.2,11.3,2.6,3.5,2.3,1,0,0.4,1.3,2.8,67.9,2.1,28.3,6,21,5.1,50,43.2
"Dylan Williamson","Jr.","Towson","CAA","6-1","G",31,965,3.1,-2.1,1,3.2,0,17.4,0.5,2.3,3.1,0.7,0,1.9,1,3.5,51.5,3.7,36,7.4,43.5,2.1,69.1,56
"Ethan Morton","Sr.","Colorado St.","MWC","6-6","G",32,760,-0.3,1.3,1,2.5,1.3,5.7,1.7,3.3,3.5,1.6,0.5,1,3.1,3,65.4,0.6,33.4,0.7,7.1,2,59.1,54.9
"Kameron Hobbs","Sr.","Morgan St.","MEAC","5-10","G",28,916,2.9,-1.9,1,3.4,0.1,18.1,0.9,2.6,2.1,1.1,0,1.6,1.3,2.8,49.2,6.5,47.4,5.4,36.5,3.9,84.6,55.2
"Jaylon Johnson","Jr.","Tennessee Tech","OVC","6-0","G",29,1026,1.8,-0.8,1,3.6,0.7,14.1,0.7,3.2,4.3,1.5,0,2.1,1.3,3.4,45.7,1.4,46.9,6.4,35.8,3.5,82,55.6
"Jalen Blackmon","Sr.","Miami (FL)","ACC","6-2","G",20,367,2.5,-1.5,1,1.3,0.1,13.5,0.4,1.9,2.7,0.9,0.3,1.6,1.5,1.8,49.9,2.7,55.1,7.4,32.9,1.7,88.9,53.7
"Atiki Ally Atiki","Sr.","New Mexico","MWC","6-10","F",29,226,-2,3,1,0.8,0.6,8.3,3,6.7,1.2,1.4,3.4,1.5,6.4,6,58.3,0.3,1.4,0,0,3,45,54.8
"Manny Obaseki","Sr.","Texas A&M","SEC","6-4","G",32,520,0.4,0.6,1,1.8,0.7,14.5,0.8,3,3,0.5,0.8,2.3,4.1,5.6,47.9,4.5,25.3,2.8,35.7,5.3,73.3,47.7
"Jasen Green","So.","Creighton","Big East","6-8","F",33,664,0,1,1,2.3,1,9.1,1.8,4.1,2,0.7,0.9,1.4,1.3,3,79.4,0.6,59.1,2.3,29.5,2.3,66.7,65.5
"Justin Hill","Sr.","Wichita St.","AAC","6-0","G",27,689,1,0,1,2.5,0.8,14.2,0.3,3.1,3.9,1.4,0.1,1.9,1.5,4.7,50.3,3.1,29.1,5.1,25.5,4.9,75.8,47
"Quinn Denker","Sr.","Northern Colo.","Big Sky","6-3","G",30,638,0.3,0.7,1,2.3,0.9,11.7,0.5,2.7,2.9,1.1,0.2,1.9,3.9,2.3,54.3,2.3,49.7,4.7,36.9,2.3,70.5,56.2
"Lance Terry","Sr.","Georgia Tech","ACC","6-2","G",29,990,1.6,-0.6,1,3.5,0.7,14.7,0.8,2.6,1.6,1.2,0.3,1.5,2.3,3.8,62.4,2.1,29.6,6.2,35.8,2.9,70.5,54.9
"Jayden Johnson","Fr.","South Carolina St.","MEAC","6-1","G",29,446,-0.6,1.6,1,1.7,0.9,10.6,1.1,3.5,4,2.1,0.1,3.1,2.9,2.8,45.4,4,47.9,3,28.3,2.1,80,49.4
"Josh Ibukunoluwa","Fr.","High Point","Big South","6-10","F",22,207,0.5,0.5,1,0.7,0.3,11.2,2.8,6.2,1.4,0.6,1.4,0.9,6.6,6.3,64.9,0.6,49.3,1.1,16.5,2.5,73.3,61.2
"Trent Perry","Fr.","UCLA","Big Ten","6-4","G",30,337,-0.6,1.6,1,1.2,0.7,11.8,1.8,3.7,2.2,1.9,0.3,1.6,3.3,1.8,66.8,2.9,25.7,3.5,32.6,5.2,85.7,56
"Jackson Paveletzke","Jr.","Ohio","MAC","6-2","G",31,1011,1,0,1,3.7,1.1,14.2,0.7,3.5,4.7,0.9,0,2.7,1.4,4.5,61.6,3.6,46.8,2,33,4.2,76.7,59.1
"Wesley Celichowski","So.","Air Force","MWC","7-0","C",32,649,1.3,-0.3,1,2.1,0.6,16.3,1.3,2.5,1.9,0.1,1.2,1.9,4,6.8,61.9,1.2,47.5,3.4,28.8,6.1,63.6,58.1
"Saint Thomas","Sr.","Southern California","Big Ten","6-7","F",32,1049,0.7,0.3,1,3.6,1.3,9.3,1.1,5.3,4.6,1.5,0.5,2.3,2.5,3.3,57.3,2.4,44.7,2.6,28.4,1.9,62.5,51
"Owen Larson","Fr.","South Dakota St.","Summit League","6-2","G",26,765,1.1,-0.1,1,2.7,0.8,10.8,0.8,4.2,3,0.8,0.2,2.2,2.8,2.1,45.3,1.4,33.7,5.6,40,1.4,84.8,55.4
"Tylen Riley","So.","California Baptist","WAC","6-3","G",24,455,0.6,0.4,1,1.6,0.6,14,0.7,4.2,3.7,1.9,0.6,2.8,2.6,5.3,46.1,2.5,33.6,4.1,27.9,5,82.1,50
"Terrence Brown","So.","Fairleigh Dickinson","NEC","6-3","G",29,1035,0.8,0.2,1,4,1.3,18,1,3.8,2.7,1.7,0.4,3.1,2,8.5,54.4,3,28.9,3.4,27.5,5.8,75.7,52.1
"Tyler Tejada","So.","Towson","CAA","6-8","G",25,801,1.9,-0.9,1,2.7,0.5,19.1,0.7,3.7,0.9,0.5,0.2,2.1,1.2,3.2,60.5,6.7,43.1,6.5,34,3.4,81.1,53.2
"Dai Dai Ames","So.","Virginia","ACC","6-1","G",30,770,0.9,0,0.9,2.4,0.7,13.6,0.3,1.9,2.8,1.1,0.5,1.8,2.8,3.2,64.4,3.9,39.1,3.7,40.6,2.2,82.9,57.3
"Dallion Johnson","Sr.","FGCU","ASUN","6-3","G",30,1007,1.7,-0.8,0.9,3.3,0.6,15.9,0.3,2.2,1.3,0.7,0.1,1.4,1.2,1.4,56.2,3.5,46.2,8.8,37.1,1.5,85.7,55.3
"Gabe Dorsey","Sr.","William & Mary","CAA","6-6","G",30,869,1.6,-0.7,0.9,3.1,0.6,15.1,0.7,3.4,1.1,0.9,0.3,1.1,2.2,1.4,48.5,1.1,52.3,8.3,43.1,2.4,79.4,63.9
"Al Green","Jr.","Louisiana Tech","C-USA","6-3","G",27,688,1.6,-0.7,0.9,2.3,0.5,15,0.8,2.4,1.3,1,0.1,1.1,1.8,3.6,46,1.6,45.3,6.4,43.6,2.4,80.9,59.6
"Jalen Speer","Sr.","Marshall","Sun Belt","6-1","G",29,734,1,-0.1,0.9,2.8,0.8,12.7,0.5,2.2,3.2,1.1,0.1,1.9,3.5,1,53.6,3,42.5,7.6,34.4,1.6,79.5,51.8
"Derrin Boyd","Sr.","Col. of Charleston","CAA","6-3","G",29,912,1,-0.1,0.9,3.2,0.9,15.2,0.4,3.5,2.3,0.9,0.1,2.2,2.5,2.9,49.6,1.8,36.8,6.8,38.7,3.8,83,58
"Frankquon Sherman","So.","Kennesaw St.","C-USA","6-7","F",28,472,-0.5,1.4,0.9,1.6,0.9,10.9,3,6.3,1.2,1.7,0.9,1.7,4,4.5,58.6,0.4,20,2.4,27.1,4.5,79.7,59.1
"Boden Kapke","So.","Butler","Big East","6-11","C",32,417,0.3,0.6,0.9,1.4,0.6,10.7,2.1,5.6,1.8,0.8,0.5,0.9,3.5,3.8,57.1,0.6,38.2,5.1,28.5,2.8,54.5,49.7
"Gyasi Powell","Sr.","Lipscomb","ASUN","6-2","G",32,1025,1,-0.1,0.9,3.4,1,13.2,0.8,3.2,1.5,1.3,0.1,1,1.5,2.4,63.4,1.7,27,6.4,38.2,2,93,57.6
"Kjay Bradley Jr.","Jr.","San Diego","WCC","6-1","G",19,521,0.7,0.2,0.9,1.9,0.7,17.4,0.3,2.9,4.1,1.8,0.2,3.9,3.1,4.5,59.1,4.8,47.8,5.6,30.6,3.6,69.1,53.1
"All Wright","Fr.","Valparaiso","MVC","6-3","G",31,931,2,-1.1,0.9,3.2,0.4,18.4,0.5,2,2.4,1,0.2,1.6,2.4,5.1,50.7,4.5,31.7,6.4,36.8,4.2,80.5,51.8
"Fraser Roxburgh","Fr.","Manhattan","MAAC","6-7","F",17,332,1.3,-0.4,0.9,1.2,0.3,13.9,2.2,4.4,2.1,0.2,0.5,1.7,1.8,4.2,64.1,1.1,19.7,4.3,48.9,3,61.3,64
"Isaac Williams","Fr.","A&M-Corpus Christi","Southland","6-2","G",18,481,0.5,0.4,0.9,1.8,0.7,13.3,1,3,4.1,1.2,0.4,2.4,3.2,6.3,58,3.4,31.4,2,22.8,5.6,44.7,46.9
"Adam Hamilton","Sr.","Lamar University","WAC","6-9","C",30,747,-1,1.9,0.9,2.6,1.6,13.4,3.6,6.2,1.8,1.2,2.1,1.6,3.5,6.8,58.6,5.3,31.7,0.1,0.3,3.7,56.1,48.5
"KyKy Tandy","Sr.","Fla. Atlantic","AAC","6-2","G",32,678,1.5,-0.6,0.9,2.4,0.5,13.7,0.2,2.7,1.4,0.9,0.1,0.6,1.5,2.1,51,0.6,27.3,8.6,39.3,1.2,84,57.7
"Dji Bailey","Sr.","LSU","SEC","6-5","G",32,1006,0.2,0.7,0.9,3.5,1.5,9.4,1.7,3.1,2.7,1.4,0.1,1.7,2,3.9,72.4,0.9,31.2,2.3,26.1,2.1,65.6,58.6
"Juslin Bodo Bodo","So.","High Point","Big South","7-0","F",32,706,-0.9,1.8,0.9,2.3,1.4,8.8,5.2,9.3,0.2,1,2.3,1.2,3.8,5.2,65.8,0.1,0,0,0,3.5,54.3,64.3
"Isaiah Walker","Jr.","Belmont","MVC","6-5","G",31,1022,0.5,0.4,0.9,3.6,1.4,10.9,2.2,3.9,2.4,1.3,0.2,1.2,1.5,4.4,58.8,1,30,3,31.1,2.8,79.8,56
"Jalon Moore","Sr.","Oklahoma","SEC","6-7","F",32,963,0.7,0.2,0.9,3.4,1.2,18.7,1.4,5.4,0.7,0.6,0.6,1.7,2.9,7.6,59,1.4,25.7,3.7,39.8,5.6,83,61.9
"Jerry Deng","So.","Florida St.","ACC","6-9","F",30,468,0.6,0.3,0.9,1.7,0.6,15,0.8,3.5,1.1,1,0.5,1.5,2.9,2,72.4,1.8,44.3,8.2,36.3,2.1,72.4,57.8
"Malachi Davis","Sr.","LIU","NEC","6-4","G",30,1004,0.5,0.4,0.9,3.5,1.3,17.9,0.3,2.6,3,1.8,0.3,3.8,2.8,6.2,47.7,5.8,43.1,5.1,26.6,3.6,79.4,47.8
"Malik Mack","So.","Georgetown","Big East","6-2","G",30,1035,0.9,0,0.9,3.5,1.1,12.3,1.1,2.8,4.6,1.3,0.3,2.4,2.2,3.6,47.2,2.8,32.9,5.1,32.5,2.8,72.4,48.1
"Kobe Johnson","Sr.","Saint Louis","Atlantic 10","6-4","G",28,855,0.2,0.7,0.9,2.9,1.2,7.7,0.6,3.3,2.2,0.9,0.4,1.1,1.9,1.9,77.1,0.8,62.6,2.6,39.1,0.7,88.2,67.8
"Urban Klavzar","Fr.","Florida","SEC","6-1","G",21,226,1.2,-0.3,0.9,0.8,0.2,12.4,0.3,2.1,3.2,0.9,0,1.6,2.5,2.5,50.8,1.7,27.7,7.1,36.6,1.6,72.7,51.8
"Vincent Brady II","Jr.","Missouri St.","MVC","6-3","G",27,877,0.5,0.4,0.9,2.9,1.1,15,1.1,3.7,2.8,1.3,0.2,3.1,3,3.1,56,2.5,41.1,4.8,38.3,5.3,75.8,59.1
"Michael Imariagbe","Sr.","Wright St.","Horizon","6-7","F",29,467,1,-0.1,0.9,1.5,0.5,13.9,3.4,6.3,1.7,1,1,1.8,5.9,7.7,64.7,1.3,46.5,0.1,99.8,3.8,64,64.4
"Tobi Lawal","Jr.","Virginia Tech","ACC","6-8","F",28,738,0.9,0,0.9,2.4,0.8,17.3,3.3,6.4,1.2,0.8,1,2.8,3.1,6.3,73.7,1.4,25.4,2.8,35.7,7,62.9,64.2
"Rongie Gordon","Jr.","Kennesaw St.","C-USA","6-8","F",29,712,-0.3,1.2,0.9,2.4,1.2,7,3.5,5.7,3.1,1,1.4,1.7,4.7,3.1,60.3,1,28.9,2.1,23.2,1.5,81.2,51.3
"Ryan Dufault","Sr.","St. Thomas (MN)","Summit League","6-0","G",31,433,1.6,-0.7,0.9,1.5,0.3,12.5,1.4,3.4,3.6,2.3,0.1,2,5.6,6.9,55.2,2.1,51,0.5,33.1,3.2,72.1,57.6
"Nana Antwi-Boasiako","Sr.","SFA","Southland","6-9","F",27,671,-1.4,2.3,0.9,2.3,1.6,12.2,2.9,4.8,1,1.1,1.7,1.4,2.6,3.8,67.4,0.6,20.9,4.4,26.8,5.2,63.5,55.2
"Tayshawn Comer","Jr.","Evansville","MVC","6-1","G",30,1086,0.4,0.5,0.9,3.7,1.4,15.7,0.3,3.2,4.1,1.2,0.2,3.3,1.9,5.1,49.8,2.9,27.9,4.9,29.6,5.7,79.1,50.5
"Robert Smith","Sr.","Delaware St.","MEAC","6-1","G",26,834,2.1,-1.2,0.9,3,0.4,18.3,0.5,2.5,2.5,1.5,0.1,3,2.1,4.6,50.9,4.3,41.8,7.1,36,3.1,75,52.6
"Vasean Allette","So.","TCU","Big 12","6-2","G",32,932,0.2,0.7,0.9,3.1,1.3,14.6,1.3,4,4.9,1.7,0.2,3.4,2.4,6.7,49.7,4.8,35.8,3,22.3,3.5,71.3,45.5
"Reece Potter","So.","Miami (OH)","MAC","7-1","C",27,458,1.4,-0.5,0.9,1.6,0.4,13,2.5,4.3,2.2,0.8,1.6,2,4.8,4.9,61.7,1.7,21.4,4,37.9,2.8,59,54.7
"Sean Moore","Sr.","UNCW","CAA","6-5","G",32,778,-0.6,1.5,0.9,2.6,1.4,12.5,2.2,7.1,2,2.3,0.6,2.4,2.8,3.2,65.4,2.9,39.8,5,30,2.2,66,51.5
"Ansley Almonor","Sr.","Kentucky","SEC","6-7","F",32,463,1.3,-0.5,0.8,1.7,0.4,12.3,1.3,2.4,1.3,0.5,0.2,0.5,2.3,1.4,86.7,0.5,62.6,5.7,43.9,1.9,88.5,72.6
"Enoch Boakye","Sr.","Villanova","Big East","6-11","F",33,731,-0.7,1.5,0.8,2.2,1.2,7.4,3.9,7.5,0.5,0.6,1.3,1.3,4.1,3.9,68,0.1,0.2,0,0,2.8,76.5,70.7
"Ben Nau","Sr.","St. Thomas (MN)","Summit League","6-2","G",31,485,1.2,-0.4,0.8,1.7,0.4,11.7,0.2,3.6,2.2,1.2,0.1,2,4.3,1.2,57.2,0,0,7.2,40,2,87.1,63.3
"Andy Stefonowicz","Fr.","North Dakota St.","Summit League","6-1","G",28,350,0.9,-0.1,0.8,1.1,0.3,6,0.3,3.5,5.1,0.7,0.3,1.1,1.8,0.6,68.5,0.5,49.8,3.9,33.8,0.9,77.8,55.4
"Adetokunbo Bakare","Sr.","Saint Peter's","MAAC","6-2","G",24,341,0.5,0.3,0.8,1.1,0.4,12.3,1.5,3.8,1.1,1.3,0.1,0.9,2.3,1.7,59.3,1.1,40,7.4,34.5,1.9,88.9,55.6
"Jason Drake","Jr.","Drexel","CAA","6-2","G",32,825,2,-1.2,0.8,2.6,0.3,16.2,0.4,3.6,4.2,1,0,3,2.3,3.5,52.3,5.8,39.6,4.5,39.4,3,85.3,53.3
"Corey Thomas","Jr.","Bradley","MVC","6-9","F",31,355,-0.3,1.1,0.8,1.2,0.6,11.2,2.8,6.7,1.7,0.2,1.6,2.5,5.3,3.3,68.1,1.1,35.6,3.5,31.3,3.6,75,59.5
"Jacob Holt","Sr.","Sacramento St.","Big Sky","6-10","F",29,791,1.2,-0.4,0.8,2.6,0.7,20.5,3,6.3,1.3,0.7,1,3,3,8.4,58.6,1.3,32.6,4.7,31.8,7.4,71.7,58
"Ben Knostman","Sr.","Lehigh","Patriot","6-5","G",26,517,-0.3,1.1,0.8,1.8,0.9,6.2,1,2.9,4.5,1.4,0.1,2.2,4.3,2,57.7,0.6,45,2.8,32.9,1.3,50,52.4
"CJ Noland","Sr.","New Mexico","MWC","6-4","G",31,648,-0.1,0.9,0.8,2.3,1.1,12.4,1,2.9,1.8,1.7,0.4,1.3,3.6,4.1,50.4,1.7,49,5,30.4,2.8,73.2,51.5
"Josh Uduje","Sr.","San Jose St.","MWC","6-5","G",30,954,2.1,-1.3,0.8,3.1,0.3,18.6,1.7,3.4,1.5,1.3,0.4,2,2.6,6.1,61.9,3.5,42.6,4.2,36.7,4.3,78.3,59
"Ethan Meuser","Jr.","Stonehill","NEC","6-8","G",29,627,-0.3,1.1,0.8,2.2,1.1,11.4,1.5,4.3,2.4,1.4,1.4,1.9,3.8,2.2,45.8,1.1,31.4,6,41.1,2,64.9,56
"Jelani Hamilton","Fr.","Georgia St.","Sun Belt","6-6","G",31,828,1.3,-0.5,0.8,2.8,0.7,12.8,0.9,3.3,2,1.3,0.2,1.5,3,3.2,47.8,1.4,32.9,6.3,32.7,3.4,76.7,51.4
"Ja'Borri McGhee","Jr.","UAB","AAC","6-0","G",32,812,1.7,-0.9,0.8,2.8,0.5,14.3,0.9,2.5,3.6,1.4,0.2,2.4,3.2,5.2,67.3,3.2,33.6,2.1,47.1,3.5,65.9,60
"Damari Monsanto","Sr.","UTSA","AAC","6-6","G",27,759,0.9,-0.1,0.8,2.6,0.8,13.8,0.2,4.7,1.7,1.7,0.5,1.6,2.4,0.2,42.2,1,27.6,9.9,41.9,0.7,93.3,60.6
"Juwan Maxey","Jr.","Youngstown St.","Horizon","6-1","G",32,856,1.8,-1,0.8,3,0.5,14.6,0.7,2.3,2.4,0.9,0,1.4,1.9,1.9,46.3,1.2,44.1,8.3,33.5,4.4,78.7,54.8
"Devin Askew","Sr.","Long Beach St.","Big West","6-5","G",30,1103,2.1,-1.3,0.8,3.6,0.4,18.7,0.2,4.4,4.3,1.4,0.1,3.8,1.9,3.6,40.3,6,41.2,5.5,37.2,5.4,88.9,53.7
"Jailen Bedford","Sr.","UNLV","MWC","6-4","G",33,765,0,0.8,0.8,2.5,1.1,16.1,1.1,5.6,2,1.4,0.1,2.3,3.1,4.3,44.2,3.8,40.7,7.4,35.1,2.1,73.2,49.3
"Riley Parker","Jr.","Saint Francis (PA)","NEC","6-2","G",29,945,1.4,-0.6,0.8,3.3,0.7,14.3,0.4,3.4,3.3,0.9,0.1,2.7,2,2,57,4.2,54.3,4.8,39.1,2.3,84.5,60
"Nils Machowski","So.","UCF","Big 12","6-3","G",27,290,-0.1,0.9,0.8,1.1,0.5,8.6,1.6,4.5,2.6,1.8,0.2,1.4,1.8,1.9,70.8,0.9,23,3.2,33.7,2.7,82.6,59.4
"Mitch Mascari","Jr.","Drake","MVC","6-5","G",31,1223,0,0.8,0.8,3.6,1.6,10.2,0.2,2.1,1.2,1.4,0,1.1,2.1,0.3,37.7,0.7,32.1,6.5,40.9,1.7,86.3,61.3
"Mustapha Amzil","Sr.","New Mexico","MWC","6-9","F",29,832,-0.4,1.2,0.8,3,1.5,13.1,2.1,4.2,1.7,1,0.9,1.5,2.3,3.9,48.8,2.1,41.2,5.1,29,4.4,70.5,50.2
"Nasir Whitlock","So.","Lehigh","Patriot","6-2","G",27,637,1.4,-0.6,0.8,2.2,0.5,15.3,0.3,3.2,2.4,0.8,0.1,2,1.5,2.6,55.8,5.7,44.7,4.8,38.3,2.4,75,54.1
"Jorge Moreno","Jr.","Southern Ill.","MVC","6-11","C",25,181,0.7,0.1,0.8,0.6,0.2,12.8,5.3,6.7,2.1,1.1,1,2.6,5,7.1,64.4,1.2,29.8,0,0,5.2,55.6,60.2
"Rylan Griffen","Jr.","Kansas","Big 12","6-6","G",31,645,0.7,0.1,0.8,2.2,0.7,11.1,0.8,3.1,2.6,0.5,0.6,1.4,2.4,1.8,55.4,1.5,37.7,6.3,34.1,2.2,67.5,52.3
"Rob Brown III","Sr.","Nicholls","Southland","6-4","G",29,867,0.9,-0.1,0.8,3,0.9,14,0.7,3.3,1.1,0.8,0.1,1.4,1.7,3.4,48.9,1,47.8,7.3,34.8,2.6,77.9,54.3
"Michael O'Connell","Sr.","NC State","ACC","6-2","G",31,913,-0.3,1.1,0.8,3,1.5,7.9,0.6,3,4.6,1.3,0,1.2,2.2,1.9,52,1.7,29.2,3.7,30.6,2.3,66.7,47.5
"Layne Taylor","Fr.","Central Ark.","ASUN","5-11","G",17,612,1.5,-0.7,0.8,2.1,0.4,16.4,0.4,3,3.4,1.8,0.1,1.6,1.8,1.6,53.6,4.4,42.1,9.1,33.1,2.1,89.5,51
"Nehemiah Turner","Fr.","Central Ark.","ASUN","6-10","F",30,549,0.4,0.4,0.8,1.9,0.7,16.6,1.9,5.9,3.2,1.2,2,3,4.6,7,64.2,3.4,28.5,1,26.7,7,68.8,57.2
"J.P. Estrella","So.","Tennessee","SEC","6-11","F",3,31,-0.3,1.1,0.8,0.1,0.1,16.4,3.6,6.3,1.2,0,3.9,0,4.5,8.2,85.2,1,1.6,0,0,3.7,66.7,76.2
"Mostapha El Moutaouakkil","Jr.","Louisiana","Sun Belt","6-6","G",31,789,0.4,0.4,0.8,2.6,1,20.6,1.7,5.2,1.5,1.8,0.5,3,3.6,10.6,51.6,4.6,37,0.3,0.8,8.7,72.8,53.6
"TJ Burch","Fr.","Ball St.","MAC","6-1","G",17,158,0.9,-0.1,0.8,0.6,0.2,15.2,0.4,2.7,4.1,1,0,1.2,5.1,7.8,49.5,2.1,30.3,2.4,49.9,4.5,59.1,53.3
