"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"Rutgers",5.1,1.7,6.9,51.4,50.3,15.4,16.9,28.1,72.7,35,28.9
"Samford",5.3,1.5,6.8,53.3,52.4,18,19.7,30.1,70.2,28.9,38.6
"Grand Canyon",-0.3,6.8,6.6,50.2,48,17.7,18.5,29.3,74.5,38.2,29.4
"LSU",2.6,4,6.6,51.4,46.7,17.4,16.7,26.9,71.8,31.6,28.3
"Saint Louis",4.4,2.1,6.5,55.4,48,18,14.6,23,74,30.4,25.2
"Northern Colo.",5.9,0.5,6.3,54.7,51.2,16.4,15.5,23.5,78.7,31.7,33.7
"South Alabama",2.1,4.1,6.2,50.1,49.5,14.5,18.2,25.2,71.5,31.4,25.7
"South Carolina",1.9,4.1,6.1,49.9,48.9,17.3,15.8,27.6,77.7,39.7,29.4
"Stanford",3.7,2.4,6.1,49.9,49,15.6,17.1,29.3,75.3,30.1,34.3
"George Washington",1.1,4.9,6,49.7,48.7,17.7,18.7,27.4,69.6,37.6,26.6
"Minnesota",2.7,3.3,6,50.6,48.2,15.3,16.4,26.7,74.3,31.1,30.6
"Wofford",6.5,-0.5,6,52.6,50.7,16,15.1,31.5,76.2,31.5,35.2
"UCF",4.6,1.3,5.9,49.8,49.9,16.5,17.6,30,71.5,35.3,30.6
"Florida St.",1,4.8,5.8,50.8,47.7,17.5,18.5,27.1,73.6,38.1,34.9
"North Dakota St.",9.3,-4,5.3,55,50.5,16.1,12.9,24.2,73.3,30,26.8
"Illinois St.",6.4,-1.1,5.2,54.2,51.5,15.7,16,23.4,76.9,30,30.3
"Notre Dame",5.2,-0.1,5.1,52,50.1,16.3,15.2,27.4,77.7,32.2,29.7
"Virginia",3.7,1.4,5.1,52.7,49.3,15.7,15.8,22.3,74.8,27.8,28.1
"Belmont",5.6,-0.5,5,53,51.5,16.3,17.1,25.9,71.9,26.3,27.3
"Fla. Atlantic",5,0,5,52.4,49.4,16.6,15.8,27.1,73.1,31.2,29.8
"Loyola Chicago",2.1,2.9,5,52.4,48.7,17.2,16.8,26,74.7,31.6,31.9
"TCU",-0.6,5.5,4.9,48,48.8,16.4,18.2,30.4,74.1,32.5,28.5
"Bryant",1.8,2.8,4.7,49.4,48.1,16.2,16.2,30.8,73.9,31.2,29.2
"CSUN",2,2.6,4.6,50.7,49.3,18,18.3,32.1,77,33.8,40.7
"Washington St.",5.1,-0.5,4.6,55.3,49.6,19.7,16.6,29,70.5,31.7,32
"Providence",3.3,1.1,4.5,52.6,47.4,17.7,14.6,29.9,75.6,31.7,32.7
"UNLV",0.9,3.5,4.5,50.3,48.3,15.8,17.3,25.3,73.5,33,31.1
"Utah Valley",0.1,4.4,4.5,49.1,47.9,16,16.2,27.6,77.3,37,29.9
"Georgia Tech",0.4,3.6,4,49.5,47.8,16.7,16.2,28.2,74.7,31.2,29.4
"Colorado",-0.7,4.5,3.8,51.4,48,19.2,15.9,28.1,77.4,34.1,32.5
"Kent St.",0.7,3.1,3.8,48,47.9,16.9,18.1,33.5,74.2,29.8,36.9
"NC State",1,2.7,3.7,48.3,49.2,14.9,17.5,28,71.7,31.8,31.5
"South Dakota St.",4.1,-0.4,3.7,51.5,49.4,17.4,13.8,30,79.5,29,28.6
"Central Conn. St.",-0.4,4,3.6,50.6,48.8,16.4,17.2,24.2,75.6,26.9,22.5
"ETSU",1.5,2,3.5,49.2,50,15.9,18,31.1,72.6,32.2,33.7
"Tulane",1.5,2.1,3.5,50.7,49.1,16,16.8,22.6,72.4,32.7,30
"Robert Morris",0.9,2.4,3.3,49.3,50.1,17.8,18.2,31.8,74.3,36.1,30.8
"Davidson",3,0.2,3.2,51.3,50.7,14.9,15.3,22.7,74.8,29.5,27.7
"UC Santa Barbara",3.6,-0.5,3.1,53.7,49.2,17.4,15.8,25,74.2,28.2,30.4
"Col. of Charleston",1.1,1.8,3,50.8,49.3,16.6,16.1,23.8,73.9,33.9,27.2
"Miami (OH)",2.2,0.6,2.8,52.8,51.9,17.1,18.5,24.7,72.5,27.8,32.7
"Middle Tenn.",1.5,1.3,2.8,51.2,48.3,16.5,16.1,28.3,74.3,30.4,29.9
"Omaha",4.1,-1.3,2.8,51.6,51.6,15.9,15.3,26.6,77.4,34.1,35.1
"Oklahoma St.",-1.5,4.2,2.7,48.9,50.9,17.4,19.3,28,74,37.7,34.3
"DePaul",2.3,0.2,2.5,52.2,50.4,17,16.1,26.1,73.7,28,29.6
"Milwaukee",0.9,1.6,2.4,49.5,50.8,18.1,17.1,35.4,75.8,35.7,31.4
"James Madison",4,-1.7,2.3,50.6,50.8,15.7,15.7,29.7,74.4,30.4,32.2
"Rhode Island",1.1,1.1,2.1,52.6,48.7,17.6,15.8,24.5,74.4,39,29.8
"Duquesne",0.1,1.9,2,49.5,50.1,17.9,18.8,31.3,72.9,31.4,37.4
"Purdue Fort Wayne",3.9,-1.9,2,52.6,52.7,14.4,18.8,19.5,70.8,28.7,29.2
"Ohio",2.1,-0.3,1.8,51.4,51.9,15.4,17.2,20.9,74.7,32.4,34
"Eastern Ky.",3.8,-2.1,1.7,48.6,51.6,14.3,17.5,29.3,69.9,27.4,32
"FGCU",2.4,-0.9,1.5,51.7,50.4,16.1,14.6,26.8,76.1,24.7,30.5
"UNC Greensboro",0.5,1.1,1.5,49.2,47.6,15.7,15.7,27,74.2,29.6,32.7
"Montana",3,-1.6,1.4,53.6,51.2,16.4,15.8,20.9,73.7,33.3,31.2
